Рафаєвич Михайло Зіновійович,1949-06-13,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Rafaevich/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1378%3A2012-03-07-10-06-23&Itemid=266&lang=uk
Череушенко Григорій Данилович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1401%3A2012-03-07-10-27-02&Itemid=266&lang=uk
Бянова Наталя Анатоліївна,,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Bianova/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1310%3A2012-03-05-12-24-14&Itemid=266&lang=uk
Зінченко Марина Анатоліївна,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1333%3A2012-03-06-09-29-56&Itemid=266&lang=uk
Ткаченко Віктор Євгенійович,1966-07-10,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Tkachenko/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1395%3A2012-03-07-10-21-11&Itemid=266&lang=uk
Іспанюк Олег Аскольдович,1960-01-01,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Ispaniyk/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1337%3A2012-03-06-15-35-07&Itemid=266&lang=uk
Учитель Ігор Леонідович,1955-03-31,http://oblrada.odessa.gov.ua/images/stories/DEPUTAT/Uchitel/1.jpg,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1397%3A2012-03-07-10-23-36&Itemid=266&lang=uk
Гончаренко Олексій Олексійович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&id=1309%3A2012-03-05-12-49-39&catid=114&Itemid=266&lang=uk
Братінов Ігнат Васильович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1304%3A2012-03-05-10-49-23&Itemid=266&lang=uk
Чернобай Олександр Васильович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1404%3A2012-03-07-10-28-32&Itemid=266&lang=uk
Жидков Михайло Анатолійович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1327%3A2012-03-06-09-20-37&Itemid=266&lang=uk
Златов Микола Радіонович,,,http://oblrada.odessa.gov.ua/index.php?option=com_content&view=article&catid=114%3A2012-03-12-08-21-50&id=1334%3A2012-03-06-09-30-33&Itemid=266&lang=uk
